from,to,cost
1,1,0
1,13,0.1
1,12,0.1
1,2,0.33
1,22,0.43
1,3,1.57
1,32,1.67
1,34,1.67
1,4,5.12
1,43,5.22
1,42,5.22
1,5,5.76
1,53,5.86
1,6,6.4
1,61,6.5
1,7,6.7
1,72,6.8
1,8,6.71
1,83,6.81
1,82,6.81
1,9,7.37
1,10,8.01
1,101,8.11
1,102,8.11
1,11,7.96
1,113,8.06
1,12,8.64
1,122,8.74
1,124,8.74
1,13,8.6
1,133,8.7
1,132,8.8
1,134,8.8
2,1,0.33
2,13,0.43
2,12,0.43
2,2,0
2,22,0.1
2,3,1.24
2,32,1.34
2,34,1.34
2,4,4.79
2,43,4.89
2,42,4.89
2,5,5.43
2,53,5.53
2,6,6.07
2,61,6.17
2,7,7.53
2,72,7.63
2,8,6.38
2,83,6.48
2,82,6.48
2,9,7.49
2,10,8.13
2,101,8.23
2,102,8.23
2,11,8.08
2,113,8.18
2,12,8.76
2,122,8.86
2,124,8.96
2,13,8.72
2,133,8.82
2,132,8.82
2,134,8.82
3,1,1.57
3,13,1.67
3,12,1.67
3,2,1.24
3,22,1.34
3,3,0
3,32,0.1
3,34,0.1
3,4,4.95
3,43,5.05
3,42,5.05
3,5,4.31
3,53,4.41
3,6,3.67
3,61,3.77
3,7,5.13
3,72,5.23
3,8,5.26
3,83,5.36
3,82,5.36
3,9,6.37
3,10,7.01
3,101,7.11
3,102,7.11
3,11,6.96
3,113,7.06
3,12,7.38
3,122,7.48
3,124,7.48
3,13,7.6
3,133,7.7
3,132,7.7
3,134,7.7
4,1,5.12
4,13,5.22
4,12,5.22
4,2,4.79
4,22,4.89
4,3,6.03
4,32,6.13
4,34,6.13
4,4,0
4,43,0.1
4,42,0.1
4,5,0.64
4,53,0.74
4,6,1.28
4,61,1.38
4,7,2.74
4,72,2.84
4,8,1.59
4,83,1.69
4,82,1.69
4,9,2.7
4,10,3.34
4,101,3.44
4,102,3.44
4,11,3.29
4,113,3.39
4,12,3.97
