from,to,cost
4,122,4.07
4,124,4.07
4,13,3.93
4,133,4.03
4,132,4.03
4,134,4.03
5,1,5.76
5,13,5.86
5,12,5.86
5,2,5.43
5,22,5.53
5,3,4.31
5,32,4.41
5,34,4.41
5,4,0.64
5,43,0.74
5,42,0.74
5,5,0
5,53,0.1
5,6,0.64
5,61,0.74
5,7,2.1
5,72,2.2
5,8,0.95
5,83,1.05
5,82,1.05
5,9,1.61
5,10,2.25
5,101,2.35
5,102,2.35
5,11,2.2
5,113,2.3
5,12,2.88
5,122,2.98
5,124,2.98
5,13,2.84
5,133,2.94
5,132,2.94
5,134,2.94
6,1,5.24
6,13,5.34
6,12,5.34
6,2,4.91
6,22,5.01
6,3,3.67
6,32,3.77
6,34,3.77
6,4,1.28
6,43,1.38
6,42,1.38
6,5,0.64
6,53,0.74
6,6,0
6,61,0.1
6,7,1.46
6,72,1.56
6,8,1.59
6,83,1.69
6,82,1.69
6,9,0.97
6,10,1.61
6,101,1.71
6,102,1.71
6,11,1.56
6,113,1.66
6,12,1.98
6,122,2.08
6,124,2.08
6,13,2.2
6,133,2.3
6,132,2.3
6,134,2.3
7,1,6.7
7,13,6.8
7,12,6.8
7,2,7.53
7,22,7.63
7,3,5.13
7,32,5.23
7,34,5.23
7,4,2.74
7,43,2.84
7,42,2.84
7,5,2.1
7,53,2.2
7,6,1.46
7,61,1.56
7,7,0
7,72,0.1
7,8,3.05
7,83,3.15
7,82,3.15
7,9,2.43
7,10,3.07
7,101,3.17
7,102,3.17
7,11,3.02
7,113,3.12
7,12,3.7
7,122,3.8
7,124,3.8
7,13,3.66
7,133,3.76
7,132,3.76
7,134,3.76
8,1,6.71
8,13,6.81
8,12,6.81
8,2,6.38
8,22,6.48
8,3,5.26
8,32,6.48
8,34,1.69
8,4,1.59
8,43,1.69
8,42,1.69
8,5,0.95
8,53,1.05
8,6,1.59
8,61,1.69
8,7,3.05
8,72,3.15
8,8,0
8,83,0.1
8,82,0.1
8,9,1.11
8,10,1.75
8,101,1.85
8,102,1.85
8,11,2.44
8,113,2.54
8,12,3.12
8,122,3.22
8,124,3.22
8,13,3.08
8,133,3.18
8,132,3.18
8,134,3.18
9,1,7.37
9,13,7.47
9,12,7.47
9,2,7.49
9,22,7.59
9,3,6.37
9,32,6.47
9,34,6.47
9,4,2.7
9,43,2.8
9,42,2.8
9,5,1.61
9,53,1.62
9,6,0.97
9,61,1.07
9,7,2.43
9,72,2.53
9,8,1.11
9,83,1.21
9,82,1.21
9,9,0
9,10,0.64
9,101,0.74
9,102,0.74
9,11,0.59
9,113,0.69
9,12,1.27
9,122,1.37
9,124,1.37
9,13,1.23
9,133,1.33
9,132,1.33
9,134,1.33
10,1,8.01
10,13,7.11
10,12,8.23
10,2,8.13
10,22,8.23
10,3,7.01
10,32,7.11
10,34,7.11
10,4,3.34
10,43,3.44
10,42,3.44
10,5,2.25
10,53,2.35
10,6,1.61
10,61,1.71
10,7,3.07
10,72,3.17
10,8,1.75
10,83,1.85
10,82,1.85
10,9,0.64
10,10,0
10,101,0.1
10,102,0.1
10,11,8.11
10,113,8.21
10,12,8.23
10,122,8.33
10,124,8.33
10,13,7.11
10,133,7.21
10,132,7.21
10,134,7.21
11,1,7.96
11,13,8.06
11,12,8.06
11,2,8.08
11,22,8.18
11,3,6.96
11,32,8.18
11,34,3.39
11,4,3.29
11,43,3.39
11,42,3.39
11,5,2.2
11,53,2.3
11,6,1.56
11,61,1.66
11,7,3.02
11,72,3.12
11,8,2.44
11,83,2.54
11,82,2.54
11,9,0.59
11,10,8.11
11,101,8.21
11,102,8.21
11,11,0
11,113,0.1
11,12,0.68
11,122,0.78
11,124,0.78
11,13,0.64
11,133,0.74
11,132,0.74
11,134,0.74
12,1,7.22
12,13,7.32
12,12,7.32
12,2,6.89
12,22,6.99
12,3,5.65
12,32,5.75
12,34,5.75
12,4,3.26
12,43,3.36
12,42,3.36
12,5,2.62
12,53,2.72
12,6,1.98
12,61,2.08
12,7,3.44
12,72,3.54
12,8,2.12
12,83,2.22
12,82,2.22
12,9,1.01
12,10,0.37
12,101,0.47
12,102,0.47
12,11,0.68
12,113,0.78
12,12,0
12,122,0.1
12,124,0.1
12,13,1.32
12,133,1.42
12,132,1.42
12,134,1.42
13,1,7.44
13,13,7.54
13,12,7.54
13,2,7.11
13,22,7.21
13,3,5.87
13,32,5.97
13,34,5.97
13,4,2.2
13,43,2.3
13,42,2.3
13,5,2.84
13,53,2.94
13,6,2.2
13,61,2.3
13,7,3.66
13,72,3.76
13,8,2.34
13,83,2.44
13,82,2.44
13,9,1.23
13,10,1.87
13,101,1.97
13,102,1.97
13,11,0.64
13,113,0.74
13,12,1.32
13,122,1.42
13,124,1.42
13,13,0
13,133,0.1
13,132,0.1
13,134,0.1
